	d1	d2	t1	t2	pendiente
294	5920.85117724	5311.0640366	2015-08-17 14:07:54	2015-08-17 14:09:04	-522.674691977
295	5311.0640366	5140.74757041	2015-08-17 14:09:04	2015-08-17 14:10:14	-145.985542448
296	5140.74757041	6074.47153741	2015-08-17 14:10:14	2015-08-17 14:11:24	800.334828856
297	6074.47153741	6167.56001312	2015-08-17 14:11:24	2015-08-17 14:11:59	159.580244073
298	6167.56001312	5628.69301888	2015-08-17 14:11:59	2015-08-17 14:13:09	-461.885995059
299	5628.69301888	5097.01803217	2015-08-17 14:13:09	2015-08-17 14:13:49	-797.512480066
300	5097.01803217	4205.72043546	2015-08-17 14:13:49	2015-08-17 14:15:14	-629.151244743
301	4205.72043546	3828.09205661	2015-08-17 14:15:14	2015-08-17 14:16:24	-323.681467584
302	3828.09205661	3477.72346199	2015-08-17 14:16:24	2015-08-17 14:16:59	-600.631876484
303	3477.72346199	2471.89427959	2015-08-17 14:16:59	2015-08-17 14:18:14	-804.663345922
304	2471.89427959	1469.205764	2015-08-17 14:18:14	2015-08-17 14:19:23	-871.903057035
305	1469.205764	1048.76383113	2015-08-17 14:19:23	2015-08-17 14:20:17	-467.157703184
306	1048.76383113	773.349715707	2015-08-17 14:20:17	2015-08-17 14:20:52	-472.138483587
307	773.349715707	72.57735465	2015-08-17 14:20:52	2015-08-17 14:22:03	-592.20199526
308	72.57735465	34.4141387491	2015-08-17 14:22:03	2015-08-17 14:23:12	-33.1854051312
309	34.4141387491	66.3130592936	2015-08-17 14:23:12	2015-08-17 14:24:22	27.3419318953
310	66.3130592936	66.6740788257	2015-08-17 14:24:22	2015-08-17 14:24:57	0.618890626444
311	66.6740788257	74.0264811084	2015-08-17 14:24:57	2015-08-17 14:26:07	6.30205909945
312	74.0264811084	74.455707757	2015-08-17 14:26:07	2015-08-17 14:27:17	0.367908555949
313	74.455707757	79.0535274482	2015-08-17 14:27:17	2015-08-17 14:27:52	7.88197661346
314	79.0535274482	66.6536502373	2015-08-17 14:27:52	2015-08-17 14:29:03	-10.478769474
315	66.6536502373	68.5916896533	2015-08-17 14:29:03	2015-08-17 14:29:37	3.42006955769
316	68.5916896533	66.0973578666	2015-08-17 14:29:37	2015-08-17 14:30:47	-2.13799867431
317	66.0973578666	71.9287378278	2015-08-17 14:30:47	2015-08-17 14:33:26	2.20052074005
318	71.9287378278	67.1389381638	2015-08-17 14:33:26	2015-08-17 14:34:01	-8.21108513821
319	67.1389381638	62.9606126528	2015-08-17 14:34:01	2015-08-17 14:35:11	-3.58142186657
320	62.9606126528	67.2286971409	2015-08-17 14:35:11	2015-08-17 14:36:21	3.65835813266
321	67.2286971409	72.1567113776	2015-08-17 14:36:21	2015-08-17 14:36:56	8.44802440565
322	72.1567113776	95.8898264168	2015-08-17 14:36:56	2015-08-17 14:38:06	20.3426700337
323	95.8898264168	102.382471352	2015-08-17 14:38:06	2015-08-17 14:39:16	5.56512423014
324	102.382471352	94.7803222583	2015-08-17 14:39:16	2015-08-17 14:39:56	-11.4032236406
325	94.7803222583	317.505649109	2015-08-17 14:39:56	2015-08-17 14:41:06	190.907423015
326	317.505649109	76.9259297903	2015-08-17 14:41:06	2015-08-17 14:42:16	-206.211187987
327	76.9259297903	796.455965503	2015-08-17 14:42:16	2015-08-17 14:43:23	644.355255862
328	796.455965503	2059.06320147	2015-08-17 14:43:23	2015-08-17 14:44:26	1202.48308187
329	2059.06320147	2908.89154076	2015-08-17 14:44:26	2015-08-17 14:45:20	944.253710325
330	2908.89154076	3557.78316324	2015-08-17 14:45:20	2015-08-17 14:45:57	1052.2566851
331	3557.78316324	4700.82705826	2015-08-17 14:45:57	2015-08-17 14:47:04	1023.62139853
332	4700.82705826	6261.97663536	2015-08-17 14:47:04	2015-08-17 14:48:23	1185.68322311
333	6261.97663536	7040.31921213	2015-08-17 14:48:23	2015-08-17 14:48:58	1334.30156017
334	7040.31921213	8613.7999881	2015-08-17 14:48:58	2015-08-17 14:50:19	1165.54131554
335	8613.7999881	8951.9561182	2015-08-17 14:50:19	2015-08-17 14:50:54	579.696223019
336	8951.9561182	9494.66890739	2015-08-17 14:50:54	2015-08-17 14:51:46	626.207064448
337	9494.66890739	9494.66890739	2015-08-17 14:51:46	2015-08-17 14:52:56	0.0
338	9494.66890739	11876.7469858	2015-08-17 14:52:56	2015-08-17 14:54:21	1681.46687886
339	11876.7469858	11883.8090555	2015-08-17 14:54:21	2015-08-17 14:57:16	2.42128104758
340	11883.8090555	11893.6792867	2015-08-17 14:57:16	2015-08-17 14:59:01	5.64013212822
341	11893.6792867	11887.4091828	2015-08-17 14:59:01	2015-08-17 14:59:36	-10.7487495888
342	11887.4091828	19999.4034268	2015-08-17 14:59:36	2015-08-17 15:10:10	767.69661615
343	19999.4034268	20012.9693945	2015-08-17 15:10:10	2015-08-17 15:11:20	11.6279723195
344	20012.9693945	20003.2577529	2015-08-17 15:11:20	2015-08-17 15:11:55	-16.6485284147
345	20003.2577529	19993.5340246	2015-08-17 15:11:55	2015-08-17 15:13:05	-8.33462421652
346	19993.5340246	19994.7602474	2015-08-17 15:13:05	2015-08-17 15:13:40	2.1020961225
347	19994.7602474	19979.5033438	2015-08-17 15:13:40	2015-08-17 15:14:50	-13.0773459237
348	19979.5033438	20141.5800926	2015-08-17 15:14:50	2015-08-17 15:17:10	69.461463769
349	20141.5800926	20139.3941212	2015-08-17 15:17:10	2015-08-17 15:18:20	-1.87368979926
350	20139.3941212	20139.2313831	2015-08-17 15:18:20	2015-08-17 15:18:55	-0.278979491727
351	20139.2313831	20133.02661	2015-08-17 15:18:55	2015-08-17 15:20:05	-5.31837699276
352	20133.02661	20134.5087761	2015-08-17 15:20:05	2015-08-17 15:21:15	1.27042807409
353	20134.5087761	20133.5280967	2015-08-17 15:21:15	2015-08-17 15:22:25	-0.840582339629
354	20133.5280967	20132.9044486	2015-08-17 15:22:25	2015-08-17 15:23:00	-1.06911093297
355	20132.9044486	20137.3778275	2015-08-17 15:23:00	2015-08-17 15:24:10	3.83432471121
356	20137.3778275	20139.6322547	2015-08-17 15:24:10	2015-08-17 15:25:20	1.93236622437
357	20139.6322547	20133.0599353	2015-08-17 15:25:20	2015-08-17 15:25:28	-49.2923954641
358	20133.0599353	20106.2754269	2015-08-17 15:25:28	2015-08-17 15:51:47	-1.01777739411
359	20106.2754269	20092.0241395	2015-08-17 15:51:47	2015-08-17 15:54:08	-6.06437762468
360	20092.0241395	20096.2163535	2015-08-17 15:54:08	2015-08-17 15:56:00	2.24582896746
361	20096.2163535	20096.2163535	2015-08-17 15:56:00	2015-08-17 15:57:10	0.0
362	20096.2163535	20096.2163535	2015-08-17 15:57:10	2015-08-17 15:57:45	0.0
363	20096.2163535	20096.2163535	2015-08-17 15:57:45	2015-08-17 15:58:55	0.0
364	20096.2163535	20096.2163535	2015-08-17 15:58:55	2015-08-17 15:59:37	0.0
365	20096.2163535	20163.1711087	2015-08-17 15:59:37	2015-08-17 18:59:20	0.372557294988
366	20163.1711087	20168.2608121	2015-08-17 18:59:20	2015-08-17 18:59:55	8.72520570089
367	20168.2608121	20168.940868	2015-08-17 18:59:55	2015-08-17 19:01:05	0.582905072585
368	20168.940868	20164.0378155	2015-08-17 19:01:05	2015-08-17 19:02:15	-4.20261638478
369	20164.0378155	20162.2524194	2015-08-17 19:02:15	2015-08-17 19:02:50	-3.06067902528
370	20162.2524194	20160.5598801	2015-08-17 19:02:50	2015-08-17 19:04:00	-1.45074796627
371	20160.5598801	20163.1119647	2015-08-17 19:04:00	2015-08-17 19:05:10	2.18750102686
372	20163.1119647	20156.3648949	2015-08-17 19:05:10	2015-08-17 19:06:20	-5.78320269794
373	20156.3648949	20155.660999	2015-08-17 19:06:20	2015-08-17 19:06:55	-1.20667860777
374	20155.660999	20157.230641	2015-08-17 19:06:55	2015-08-17 19:08:05	1.34540742562
375	20157.230641	20159.7551162	2015-08-17 19:08:05	2015-08-17 19:09:15	2.16383587423
376	20159.7551162	20157.8070505	2015-08-17 19:09:15	2015-08-17 19:09:50	-3.33954115668
377	20157.8070505	20158.13748	2015-08-17 19:09:50	2015-08-17 19:11:00	0.283225230607
378	20158.13748	20160.2365844	2015-08-17 19:11:00	2015-08-17 19:12:10	1.79923236194
379	20160.2365844	20158.2325119	2015-08-17 19:12:10	2015-08-17 19:13:20	-1.71777638062
380	20158.2325119	20163.6465812	2015-08-17 19:13:20	2015-08-17 19:14:03	7.55451519915
381	20163.6465812	20128.656823	2015-08-17 19:14:03	2015-08-17 19:15:13	-29.9912212641
382	20128.656823	20123.7629309	2015-08-17 19:15:13	2015-08-17 19:15:48	-8.38952935574
383	20123.7629309	20130.5661999	2015-08-17 19:15:48	2015-08-17 19:22:07	1.07703466426
384	20130.5661999	20118.5776828	2015-08-17 19:22:07	2015-08-17 19:53:18	-0.384452712032
385	20118.5776828	20119.4302207	2015-08-17 19:53:18	2015-08-17 19:53:53	1.4614935287
386	20119.4302207	20123.3877854	2015-08-17 19:53:53	2015-08-17 19:55:03	3.39219833544
387	20123.3877854	20117.1333014	2015-08-17 19:55:03	2015-08-17 20:23:54	-0.216793206424
388	20117.1333014	20111.9286381	2015-08-17 20:23:54	2015-08-17 20:25:04	-4.46113999281
389	20111.9286381	20121.4155684	2015-08-17 20:25:04	2015-08-17 20:53:20	0.335622536743
390	20121.4155684	20118.702472	2015-08-17 20:53:20	2015-08-17 20:53:55	-4.65102248745
391	20118.702472	20113.8306793	2015-08-17 20:53:55	2015-08-17 20:55:05	-4.17582228592
392	20113.8306793	20114.6365612	2015-08-17 20:55:05	2015-08-17 21:15:13	0.0400272457455
393	20114.6365612	20108.875514	2015-08-17 21:15:13	2015-08-17 21:17:00	-3.23049377669
394	20108.875514	20117.661036	2015-08-17 21:17:00	2015-08-17 21:18:10	7.5304474756
395	20117.661036	20115.2369079	2015-08-17 21:18:10	2015-08-17 21:18:40	-4.84825633277
396	20115.2369079	20123.251612	2015-08-17 21:18:40	2015-08-17 21:26:12	1.06389877955
397	20123.251612	20115.7645064	2015-08-17 21:26:12	2015-08-17 21:26:47	-12.8350381634
398	20115.7645064	20119.4303392	2015-08-17 21:26:47	2015-08-17 21:27:57	3.14214240611
399	20119.4303392	20114.4587337	2015-08-17 21:27:57	2015-08-17 21:28:32	-8.52275226151
400	20114.4587337	20138.287686	2015-08-17 21:28:32	2015-08-17 21:56:13	0.8607688957
401	20138.287686	20130.893874	2015-08-17 21:56:13	2015-08-17 21:56:48	-12.6751063014
402	20130.893874	20128.6838668	2015-08-17 21:56:48	2015-08-17 21:57:58	-1.89429185716
403	20128.6838668	20138.9184914	2015-08-17 21:57:58	2015-08-17 21:58:33	17.5450707637
404	20138.9184914	20112.8018716	2015-08-17 21:58:33	2015-08-17 22:26:14	-0.943405893161
405	20112.8018716	20115.9930854	2015-08-17 22:26:14	2015-08-17 22:27:08	3.54579308492
406	20115.9930854	20128.4826688	2015-08-17 22:27:08	2015-08-17 22:28:21	10.2654110034
407	20128.4826688	20124.3394814	2015-08-17 22:28:21	2015-08-17 22:28:56	-7.10260687588
408	20124.3394814	20126.9150982	2015-08-17 22:28:56	2015-08-17 22:30:06	2.20767154967
409	20126.9150982	20125.6100107	2015-08-17 22:30:06	2015-08-17 22:30:26	-3.91526266753
410	20125.6100107	20118.9439767	2015-08-17 22:30:26	2015-08-17 22:34:51	-1.50929072148
411	20118.9439767	20113.0295151	2015-08-17 22:34:51	2015-08-17 23:02:59	-0.210229676154
412	20113.0295151	20108.4863358	2015-08-17 23:02:59	2015-08-17 23:04:09	-3.89415365608
413	20108.4863358	20092.3325027	2015-08-17 23:04:09	2015-08-17 23:31:15	-0.596082404515
